fund_ticker,nav_symbol
ACP,XACPX
ACV,XACVX
ADX,XADEX
AEF,XAEFX
AFB,XAFBX
AFT,XAFTX
AGD,XAGDX
AIF,XAIFX
AIO,XAIOX
AOD,XAODX
ARDC,XADCX
ASG,XASGX
ASGI,XAGIX
AVK,XAVKX
AWF,XAWFX
AWP,XAWPX
BBN,XBBNX
BCAT,XCATX
BCV,XBCVX
BCX,XBCRX
BDJ,XBDJX
BFK,XBFKX
BFZ,XBFZX
BGB,XBGBX
BGH,XBGHX
BGR,XBGRX
BGT,XBGTX
BGX,XXBGX
BGY,XBGYX
BHK,XBHKX
BHV,XBHVX
BIGZ,XBIGX
BIT,XBITX
BKN,XBKNX
BKT,XBKTX
BLE,XBLEX
BLW,XBLWX
BME,XBMEX
BMEZ,XBMZX
BMN,XBMNX
BNY,XBNYX
BOE,XBOEX
BRW,XPPRX
BSL,XBSLX
BST,XBSTX
BSTZ,XBSZX
BTA,XBTAX
BTO,XBTOX
BTT,XBTTX
BUI,XBUIX
BWG,XBWGX
BXMX,XBXMX
BYM,XBYMX
CAF,XCAFX
CBH,XCBHX
CCD,XCCDX
CEE,XCEEX
CEF,XCEFX
CEM,XCEMX
CEV,XCEVX
CGO,XCGOX
CHI,XCHIX
CHN,XXCHNXX
CHW,XCHWX
CHY,XCHYX
CIF,XCIFX
CII,XCIIX
CIK,XCIKX
CLM,XCLMX
CMU,XCMUX
CPZ,XCPZX
CRF,XCRFX
CSQ,XCSQX
CTR,XCTRX
CUBA,XCUBAX
CXE,XCXEX
CXH,XCXHX
DBL,XDBLX
DCF,XDCFX
DFP,XDFPX
DHF,XDHFX
DHY,XDHYX
DIAX,XDIAX
DLY,XDLYX
DMB,XDMBX
DMF,XDMFX
DMO,XDMOX
DNP,XDNPX
DPG,XDPGX
DSL,XDSLX
DSM,XDSMX
DSU,XDSUX
DTF,XDTFX
EAD,XEADX
ECAT,XECATX
ECC,XECCX
ECF,XECFX
EDD,XEDDX
EDF,XEDFX
EDI,XEDIX
EEA,XEEAX
EFR,XEFRX
EFT,XEFTX
EGF,XEGFX
EHI,XEHIX
EIC,XEICX
EIM,XEIMX
EMD,XEMDX
EMF,XEMFX
EMO,XEMOX
ENX,XENWX
EOD,XEODX
EOI,XEOIX
EOS,XEOSX
EOT,XEOTX
ERC,XERCX
ERH,XERHX
ETB,XETBX
ETG,XETGX
ETJ,XETJX
ETO,XETOX
ETV,XETVX
ETW,XETWX
ETX,XETTX
ETY,XETYX
EVF,XEVFX
EVG,XEVGX
EVM,XEVMX
EVN,XEVNX
EVT,XEVTX
EVV,XEVVX
EXG,XEXGX
FAM,XFAMX
FAX,XFAPX
FCO,XFCOX
FCT,XFCTX
FEI,XFEIX
FEN,XFENX
FFA,XFFAX
FFC,XFFCX
FGB,XFGBX
FIF,XFIFX
FINS,XFINX
FLC,XFLCX
FMN,XFMNX
FMY,XFMYX
FOF,XFOFX
FPF,XFPFX
FPL,XFPLX
FRA,XFRAX
FSD,XFSDX
FT,XFUTX
FTF,XFTFX
FTHY,XFTHYX
FUND,XFUNX
FXBY,XFXBX
GAB,XGABX
GAM,XGAMX
GBAB,XGBAX
GCV,XGCVX
GDL,XGDLX
GDO,XGDOX
GDV,XGDVX
GF,XGFNX
GGN,XGGNX
GGT,XGGTX
GGZ,XGGZX
GHY,XGHYX
GIM,XGIMX
GLO,XGLOX
GLQ,XGLQX
GLU,XGLUX
GLV,XGLVX
GNT,XGNTX
GOF,XGOFX
GRF,XGRFX
GRX,XXGRX
GUG,XGUGX
GUT,XGUTX
HEQ,XHEQX
HFRO,XHFOX
HGLB,XHGLX
HIE,XHIEX
HIO,XHIOX
HIX,XHGIX
HNW,XHNWX
HPF,XHPFX
HPI,XHPIX
HPS,XHPSX
HQH,XHQHX
HQL,XHQLX
HTD,XHTDX
HTY,XHTYX
HYB,XHYBX
HYI,XHYIX
HYT,XHYTX
IAE,XIAEX
IAF,XIAFX
IDE,XIDEX
IFN,XIFNX
IGA,XIGAX
IGD,XIGDX
IGI,XIGIX
IGR,XIGRX
IHD,XIHDX
IHIT,XHITX
IHTA,XHTAX
IIF,XIIFX
IIM,XIIMX
INSI,XBDFX
IQI,XIQIX
ISD,XISDX
JCE,XJCEX
JEQ,XJEQX
JFR,XJFRX
JGH,XJGHX
JHAA,XJAAX
JHI,XJHIX
JHS,XJHSX
JLS,XJLSX
JMM,XJMMX
JOF,XXJOFXX
JPC,XJPCX
JPI,XJPIX
JQC,XJQCX
JRI,XJRIX
JRS,XJRSX
KF,XKFDX
KIO,XKIOX
KSM,XKSMX
KTF,XKTFX
KYN,XKYNX
LDP,XLDPX
LEO,XLEOX
LGI,XLGIX
MAV,XPMAX
MCI,XMCIX
MCN,XMCNX
MCR,XMCRX
MEGI,XMEGI
MFD,XMFDX
MFM,XMFMX
MFV,XMFVX
MGF,XMGFX
MHD,XMHDX
MHF,XMHFX
MHI,XMHIX
MHN,XMHNX
MIN,XMINX
MIO,XMIOX
MIY,XMIYX
MMD,XMMDX
MMT,XMMTX
MMU,XMMUX
MPA,XMPAX
MPV,XMPVX
MQT,XMQTX
MQY,XMQYX
MSD,XMSDX
MUA,XMUAX
MUC,XMUCX
MUE,XMUEX
MUI,XMUIX
MUJ,XMUJX
MVF,XMVFX
MVT,XMVTX
MXE,XMXEX
MXF,XXMXFXX
MYD,XMYDX
MYI,XMYIX
MYN,XMYNX
NAC,XNACX
NAD,XNADX
NAN,XNANX
NAZ,XNAZX
NBB,XNBBX
NBH,XNBHX
NBXG,XNBGX
NCA,XNCAX
NCV,XNCVX
NCZ,XNCZX
NDMO,XNDMX
NDP,XNDPX
NEA,XNEAX
NFJ,XNFJX
NHS,XNHSX
NIE,XNIEX
NIM,XNIMX
NKX,XNCMX
NMAI,XNMAX
NMCO,XNMCX
NMI,XNMIX
NML,XNMLX
NMS,XMNSX
NMT,XNMTX
NMZ,XNMZX
NNY,XNNYX
NOM,XNOMX
NPCT,XNPCX
NPFD,XNPFX
NPV,XNPVX
NQP,XNQPX
NRK,XNRKX
NRO,XNROX
NTG,XNTGX
NUV,XNUVX
NUW,XNUWX
NVG,XNVGX
NXC,XNXCX
NXJ,XNXJX
NXN,XNXNX
NXP,XNXPX
NZF,XNZFX
OCCI,XOCCIX
OIA,XOIAX
OPP,XOPPX
OXLC,OXLCX
PAI,XPAIX
PAXS,XPAAX
PCF,XPCFX
PCK,XPCKX
PCM,XPCMX
PCN,XPCNX
PCQ,XPCQX
PDI,XPDIX
PDO,XPDOX
PDT,XPDTX
PDX,XPDX
PEO,XPEOX
PFD,XPFDX
PFL,XPFLX
PFN,XPFNX
PFO,XPFOX
PGP,XPGPX
PGZ,XPGZX
PHD,XPHDX
PHK,XPHKX
PHT,XPHTX
PIM,XPIMX
PMF,XPMFX
PML,XPMLX
PMM,XPMMX
PMO,XPMOX
PMX,XPMQX
PNF,XPNFX
PNI,XPNIX
PPT,XPPTX
PSF,XPSFX
PTA,XPTAX
PTY,XPTYX
PYN,XPYNX
PZC,XPZCX
QQQX,XQQQX
RA,XRAIX
RCG,XXRENNX
RCS,XRCSX
RFI,XRFIX
RFM,XRFMX
RFMZ,XRFZX
RGT,XRGTX
RIV,XRIVX
RLTY,XRLTX
RMI,XRMIX
RMM,XRMMX
RMMZ,XRMZX
RMT,XOTCX
RNP,XRNPX
RQI,XRQIX
RSF,XRSFX
RVT,XRVTX
SBI,XSBIX
SCD,XSCDX
SDHY,XSDHX
SOR,XSORX
SPE,XSPEX
SPXX,XSSPX
SRV,XSRVX
STEW,XSTEX
STK,XSTKX
SWZ,XSWZX
TBLD,XTBLX
TDF,XTDFX
TEAF,XTEAX
TEI,XTEIX
THQ,XTHQX
THW,XTHWX
TPZ,XTPZX
TSI,XXCVTXX
TTP,XTTPX
TWN,XXTWNXX
TY,XTYCX
TYG,XTYGX
USA,XUSAX
UTF,XUTFX
UTG,XUTGX
VBF,XVBFX
VCV,XVCVX
VFL,XVFLX
VGI,XVGIX
VGM,XVGMX
VKI,XVKIX
VKQ,XVKQX
VLT,XVLTX
VMO,XVMOX
VPV,XVPVX
VTN,XVTNX
VVR,XVVRX
WDI,XWDIX
WEA,XWEAX
WIA,XWIAX
WIW,XWIWX
XFLT,XFLTX
ZTR,XZTRX
DMA,XDMAX
CCIF,XCCIFX
FSCO,XFSCX